nfacture,ref_piece_liste,ref_piece_base,reste_a_payer,facture_soldee,statut,present_en_base
50620,"FA260316 50620",,,,,NON
50618,"FA260316 50618",,,,,NON
50621,"FA260316 50621",,,,,NON
50607,"FA260313 50607","FA260313 50607",220,NON,,OUI
50606,"FA260313 50606","FA260313 50606",255,NON,,OUI
50612,"FA260313 50612","FA260313 50612",115,NON,,OUI
50613,"FA260313 50613","FA260313 50613",340,NON,,OUI
50609,"FA260313 50609","FA260313 50609",255,NON,,OUI
50610,"FA260313 50610","FA260313 50610",110,NON,,OUI
50615,"FA260313 50615","FA260313 50615",1400,NON,,OUI
50605,"FA260313 50605","FA260313 50605",230,NON,,OUI
50617,"FA260313 50617","FA260313 50617",252,NON,,OUI
50598,"FA260312 50598","FA260312 50598",370,NON,,OUI
50584,"FA260311 50584","FA260311 50584",180,NON,,OUI
50581,"FA260311 50581","FA260311 50581",250,NON,,OUI
50595,"FA260311 50595","FA260311 50595",1404,NON,,OUI
50593,"FA260311 50593","FA260311 50593",150,NON,,OUI
50582,"FA260311 50582","FA260311 50582",195.5,NON,,OUI
50587,"FA260311 50587","FA260311 50587",280,NON,,OUI
50591,"FA260311 50591","FA260311 50591",470,NON,,OUI
50576,"FA260310 50576","FA260310 50576",635,NON,,OUI
50574,"FA260310 50574","FA260310 50574",35,NON,,OUI
50568,"FA260310 50568","FA260310 50568",224,NON,,OUI
50571,"FA260310 50571","FA260310 50571",4300,NON,,OUI
50569,"FA260310 50569","FA260310 50569",155,NON,,OUI
50565,"FA260309 50565","FA260309 50565",340,NON,,OUI
50564,"FA260306 50564","FA260306 50564",1400,NON,impaye,OUI
50563,"FA260306 50563","FA260306 50563",1400,NON,impaye,OUI
50552,"FA260305 50552","FA260305 50552",245,NON,impaye,OUI
50554,"FA260305 50554","FA260305 50554",380,NON,impaye,OUI
50559,"FA260305 50559","FA260305 50559",300,NON,impaye,OUI
50562,"FA260305 50562","FA260305 50562",120,NON,impaye,OUI
50560,"FA260305 50560","FA260305 50560",99,NON,impaye,OUI
50557,"FA260305 50557","FA260305 50557",275,NON,impaye,OUI
50555,"FA260305 50555","FA260305 50555",535,NON,impaye,OUI
50544,"FA260304 50544","FA260304 50544",275,NON,impaye,OUI
50549,"FA260304 50549","FA260304 50549",150,NON,impaye,OUI
50547,"FA260304 50547","FA260304 50547",95,NON,impaye,OUI
50532,"FA260227 50532","FA260227 50532",14896,NON,impaye,OUI
50525,"FA260227 50525","FA260227 50525",1695,NON,impaye,OUI
50536,"FA260227 50536","FA260227 50536",1560,NON,impaye,OUI
50535,"FA260227 50535","FA260227 50535",685,NON,impaye,OUI
50533,"FA260227 50533","FA260227 50533",1178.16,NON,impaye,OUI
50539,"FA260227 50539","FA260227 50539",2065,NON,impaye,OUI
50527,"FA260227 50527","FA260227 50527",35,NON,impaye,OUI
50537,"FA260227 50537","FA260227 50537",960,NON,impaye,OUI
50518,"FA260226 50518","FA260226 50518",4000,NON,impaye,OUI
50519,"FA260226 50519","FA260226 50519",300,NON,impaye,OUI
50520,"FA260226 50520","FA260226 50520",500,NON,impaye,OUI
50513,"FA260225 50513","FA260225 50513",340,NON,impaye,OUI
50516,"FA260225 50516","FA260225 50516",35,NON,impaye,OUI
50511,"FA260225 50511","FA260225 50511",1060,NON,impaye,OUI
50512,"FA260225 50512","FA260225 50512",255,NON,impaye,OUI
50506,"FA260223 50506","FA260223 50506",280,NON,impaye,OUI
50504,"FA260223 50504","FA260223 50504",230,NON,impaye,OUI
50499,"FA260220 50499","FA260220 50499",423,NON,impaye,OUI
50498,"FA260220 50498","FA260220 50498",395,NON,impaye,OUI
50492,"FA260219 50492","FA260219 50492",230,NON,impaye,OUI
50493,"FA260219 50493","FA260219 50493",960,NON,impaye,OUI
50490,"FA260217 50490","FA260217 50490",156.5,NON,impaye,OUI
50491,"FA260217 50491","FA260217 50491",161,NON,impaye,OUI
50485,"FA260216 50485","FA260216 50485",310,NON,impaye,OUI
50476,"FA260213 50476","FA260213 50476",35,NON,impaye,OUI
50470,"FA260213 50470","FA260213 50470",108,NON,impaye,OUI
50463,"FA260212 50463","FA260212 50463",135,NON,impaye,OUI
50462,"FA260212 50462","FA260212 50462",35,NON,impaye,OUI
50465,"FA260212 50465","FA260212 50465",1400,NON,impaye,OUI
50467,"FA260212 50467","FA260212 50467",1400,NON,impaye,OUI
50453,"FA260210 50453","FA260210 50453",395,NON,impaye,OUI
50456,"FA260210 50456","FA260210 50456",135,NON,impaye,OUI
50434,"FA260206 50434","FA260206 50434",305,NON,impaye,OUI
50433,"FA260206 50433","FA260206 50433",50,NON,impaye,OUI
50439,"FA260206 50439","FA260206 50439",2800,NON,impaye,OUI
50437,"FA260206 50437","FA260206 50437",155,NON,impaye,OUI
50425,"FA260205 50425","FA260205 50425",168,NON,impaye,OUI
50426,"FA260205 50426","FA260205 50426",155,NON,impaye,OUI
50422,"FA260204 50422","FA260204 50422",3500,NON,impaye,OUI
50403,"FA260202 50403","FA260202 50403",375,NON,impaye,OUI
50389,"FA260130 50389","FA260130 50389",90,NON,impaye,OUI
50397,"FA260130 50397","FA260130 50397",100,NON,impaye,OUI
50381,"FA260129 50381","FA260129 50381",120,NON,impaye,OUI
50375,"FA260128 50375","FA260128 50375",325,NON,impaye,OUI
